patois,francese,italiano,audio
égnón,oignon,cipolla,https://www.patoisvda.org/asset/0000056652.mp3
èidjà (èidjé),aidé (aider),aiutato (aiutare),https://www.patoisvda.org/asset/0000065407.mp3
èidjé,aider,aiutare,https://www.patoisvda.org/asset/0000065405.mp3
èidzo,aide,aiuto,https://www.patoisvda.org/asset/0000090174.mp3
éillize,église,chiesa,https://www.patoisvda.org/asset/0000055405.mp3
èizamèn,examen,esame,https://www.patoisvda.org/asset/0000055513.mp3
éléfàn,éléphant,elefante,https://www.patoisvda.org/asset/0000055411.mp3
élèichón,élection,elezione,https://www.patoisvda.org/asset/0000055409.mp3
élevadzo,élevage,allevamento,
élève,élève,alunno,https://www.patoisvda.org/asset/0000055413.mp3
émichón,émission,trasmissione,https://www.patoisvda.org/asset/0000055417.mp3
émochón,émotion,emozione,https://www.patoisvda.org/asset/0000055419.mp3
entcho,encre,inchiostro,https://www.patoisvda.org/asset/0000055427.mp3
entrà (entré),entré (entrer),entrato (entrare),https://www.patoisvda.org/asset/0000065670.mp3
entré,entrer,entrare,https://www.patoisvda.org/asset/0000065668.mp3
épala,épaule,spalla,https://www.patoisvda.org/asset/0000055453.mp3
épaou,époux,sposo,https://www.patoisvda.org/asset/0000055467.mp3
épaouza,épouse,sposa,https://www.patoisvda.org/asset/0000055463.mp3
épeluya,escarbille,scintilla,https://www.patoisvda.org/asset/0000090223.mp3
épesse,épais,spesso,https://www.patoisvda.org/asset/0000058334.mp3
épetaille,hôpital,ospedale,https://www.patoisvda.org/asset/0000055784.mp3
épeuc,valériane celtique (valeriana celtica),valeriana celtica (valeriana celtica),
épia,épi,spiga,https://www.patoisvda.org/asset/0000090370.mp3
épin-a,épine,spina,https://www.patoisvda.org/asset/0000055459.mp3
éponje,éponge,spugna,https://www.patoisvda.org/asset/0000055461.mp3
er,air,aria,https://www.patoisvda.org/asset/0000052900.mp3
erba,herbe,erba,https://www.patoisvda.org/asset/0000055764.mp3
ereus,hérisson,riccio,https://www.patoisvda.org/asset/0000055766.mp3
escuza,prétexte,pretesto (scusa),https://www.patoisvda.org/asset/0000057215.mp3
espéc,valériane celtique (valeriana celtica),valeriana celtica (valeriana celtica),
espèiza,dépense,spesa,https://www.patoisvda.org/asset/0000054970.mp3
espouer,espoir,speranza,https://www.patoisvda.org/asset/0000055478.mp3
esprì,esprit,spirito,https://www.patoisvda.org/asset/0000055480.mp3
esquì,ski,sci,https://www.patoisvda.org/asset/0000057660.mp3
esquì,ski (sport),sci,https://www.patoisvda.org/asset/0000057661.mp3
estomaque,estomac,stomaco,https://www.patoisvda.org/asset/0000055487.mp3
estremèn,instrument,strumento,https://www.patoisvda.org/asset/0000055808.mp3
écharpa,écharpe,sciarpa,https://www.patoisvda.org/asset/0000055384.mp3
échèn,sagesse,saggezza,https://www.patoisvda.org/asset/0000057546.mp3
écolié,écolier,scolaro,https://www.patoisvda.org/asset/0000055394.mp3
écouila,bol,scodella,https://www.patoisvda.org/asset/0000090184.mp3
écoula,école,scuola,https://www.patoisvda.org/asset/0000055392.mp3
écrì (écrire),écrit (écrire),scritto (scrivere),https://www.patoisvda.org/asset/0000090375.mp3
écrire,écrire,scrivere,https://www.patoisvda.org/asset/0000065644.mp3
écriteura,écriture,scrittura,https://www.patoisvda.org/asset/0000055398.mp3
écrivèn,écrivain,scrittore,https://www.patoisvda.org/asset/0000055399.mp3
effachà (effaché),effacé (effacer),cancellato (cancellare),https://www.patoisvda.org/asset/0000065649.mp3
effaché,effacer,cancellare,https://www.patoisvda.org/asset/0000065647.mp3
éffor,effort,sforzo,https://www.patoisvda.org/asset/0000055403.mp3
éforié,printemps,primavera,https://www.patoisvda.org/asset/0000057267.mp3
égnón,oignon,cipolla,https://www.patoisvda.org/asset/0000056652.mp3
èidjà (èidjé),aidé (aider),aiutato (aiutare),https://www.patoisvda.org/asset/0000065407.mp3
èidjé,aider,aiutare,https://www.patoisvda.org/asset/0000065405.mp3
èidzo,aide,aiuto,https://www.patoisvda.org/asset/0000090174.mp3
éillize,église,chiesa,https://www.patoisvda.org/asset/0000055405.mp3
èizamèn,examen,esame,https://www.patoisvda.org/asset/0000055513.mp3
éléfàn,éléphant,elefante,https://www.patoisvda.org/asset/0000055411.mp3
élèichón,élection,elezione,https://www.patoisvda.org/asset/0000055409.mp3
élevadzo,élevage,allevamento,
élève,élève,alunno,https://www.patoisvda.org/asset/0000055413.mp3
émichón,émission,trasmissione,https://www.patoisvda.org/asset/0000055417.mp3
émochón,émotion,emozione,https://www.patoisvda.org/asset/0000055419.mp3
entcho,encre,inchiostro,https://www.patoisvda.org/asset/0000055427.mp3
entrà (entré),entré (entrer),entrato (entrare),https://www.patoisvda.org/asset/0000065670.mp3
entré,entrer,entrare,https://www.patoisvda.org/asset/0000065668.mp3
épala,épaule,spalla,https://www.patoisvda.org/asset/0000055453.mp3
épaou,époux,sposo,https://www.patoisvda.org/asset/0000055467.mp3
épaouza,épouse,sposa,https://www.patoisvda.org/asset/0000055463.mp3
épeluya,escarbille,scintilla,https://www.patoisvda.org/asset/0000090223.mp3
épesse,épais,spesso,https://www.patoisvda.org/asset/0000058334.mp3
épetaille,hôpital,ospedale,https://www.patoisvda.org/asset/0000055784.mp3
épeuc,valériane celtique (valeriana celtica),valeriana celtica (valeriana celtica),
épia,épi,spiga,https://www.patoisvda.org/asset/0000090370.mp3
épin-a,épine,spina,https://www.patoisvda.org/asset/0000055459.mp3
éponje,éponge,spugna,https://www.patoisvda.org/asset/0000055461.mp3
er,air,aria,https://www.patoisvda.org/asset/0000052900.mp3
erba,herbe,erba,https://www.patoisvda.org/asset/0000055764.mp3
ereus,hérisson,riccio,https://www.patoisvda.org/asset/0000055766.mp3
escuza,prétexte,pretesto (scusa),https://www.patoisvda.org/asset/0000057215.mp3
espéc,valériane celtique (valeriana celtica),valeriana celtica (valeriana celtica),
espèiza,dépense,spesa,https://www.patoisvda.org/asset/0000054970.mp3
espouer,espoir,speranza,https://www.patoisvda.org/asset/0000055478.mp3
esprì,esprit,spirito,https://www.patoisvda.org/asset/0000055480.mp3
esquì,ski,sci,https://www.patoisvda.org/asset/0000057660.mp3
esquì,ski (sport),sci,https://www.patoisvda.org/asset/0000057661.mp3
estomaque,estomac,stomaco,https://www.patoisvda.org/asset/0000055487.mp3
estremèn,instrument,strumento,https://www.patoisvda.org/asset/0000055808.mp3
Étà,État,Stato,https://www.patoisvda.org/asset/0000055491.mp3
étchéla,échelle,scala,https://www.patoisvda.org/asset/0000055388.mp3
étedjà (étedjé),étudié (étudier),studiato (studiare),https://www.patoisvda.org/asset/0000065682.mp3
étedjé,étudier,studiare,https://www.patoisvda.org/asset/0000065680.mp3
étèila,étoile,stella,https://www.patoisvda.org/asset/0000055499.mp3
étoffa,tissu,tessuto,https://www.patoisvda.org/asset/0000090306.mp3
étragno,éternuement,starnuto,https://www.patoisvda.org/asset/0000055495.mp3
étret,étroit,stretto,https://www.patoisvda.org/asset/0000058261.mp3
étsaoudà (étsaoudé),chauffé (chauffer),scaldato (scaldare),https://www.patoisvda.org/asset/0000065547.mp3
étsaoudé,chauffer,scaldare,https://www.patoisvda.org/asset/0000065545.mp3
étsasse,béquille,stampella,https://www.patoisvda.org/asset/0000053539.mp3
étsatèn,été,estate,https://www.patoisvda.org/asset/0000055493.mp3
étselé,escalier,scala,https://www.patoisvda.org/asset/0000055471.mp3
étseunna,dos,schiena,https://www.patoisvda.org/asset/0000055358.mp3
étudiàn,étudiant,studente,https://www.patoisvda.org/asset/0000055501.mp3
eumbrachà (eumbraché),embrassé (embrasser),abbracciato (abbracciare),https://www.patoisvda.org/asset/0000065652.mp3
eumbraché,embrasser,abbracciare,https://www.patoisvda.org/asset/0000065650.mp3
eumpeundre,pousser,spingere,https://www.patoisvda.org/asset/0000065908.mp3
eumpeundù (eumpeundre),poussé (pousser),spinto (spingere),https://www.patoisvda.org/asset/0000065910.mp3
eumpleure,remplir,riempire,https://www.patoisvda.org/asset/0000065989.mp3
eumpléyà,employé,impiegato,https://www.patoisvda.org/asset/0000055421.mp3
eumpléyà (eumpléyé),employé (employer),adoperato (adoperare),https://www.patoisvda.org/asset/0000065655.mp3
eumplèyaye,employée,impiegata,https://www.patoisvda.org/asset/0000055423.mp3
eumpléyé,employer,adoperare,https://www.patoisvda.org/asset/0000065653.mp3
eumplì (eumpleure),rempli (remplir),riempito (riempire),https://www.patoisvda.org/asset/0000065991.mp3
eumpoù,impôt (taxe),tassa,https://www.patoisvda.org/asset/0000055800.mp3
eumpouertsà (eumpouertsé),sali (salir),sporcato (sporcare),https://www.patoisvda.org/asset/0000066059.mp3
eumpouertsé,salir,sporcare,https://www.patoisvda.org/asset/0000066057.mp3
eumprèchón,pensée,pensiero,https://www.patoisvda.org/asset/0000056896.mp3
eumprèiza,entreprise,impresa,https://www.patoisvda.org/asset/0000055445.mp3
eumprèiza,entreprise,impresa,https://www.patoisvda.org/asset/0000055447.mp3
euncontrà (euncontré),rencontré (rencontrer),incontrato (incontrare),https://www.patoisvda.org/asset/0000065994.mp3
euncontré,rencontrer,incontrare,https://www.patoisvda.org/asset/0000065992.mp3
eundrumì,endormir,addormentare,https://www.patoisvda.org/asset/0000065656.mp3
eundrumì (eundrumì),endormi (endormir),addormentato (addormentare),https://www.patoisvda.org/asset/0000065658.mp3
eunfèichón,infection,infezione,https://www.patoisvda.org/asset/0000055804.mp3
eunfer,enfer,inferno,https://www.patoisvda.org/asset/0000055433.mp3
eunformachón,information,informazione,https://www.patoisvda.org/asset/0000055806.mp3
eungan-à (eungan-é),dupé (duper),ingannato (ingannare),https://www.patoisvda.org/asset/0000066156.mp3
eungan-é,duper,ingannare,https://www.patoisvda.org/asset/0000066154.mp3
eunrèi,charrue,aratro,https://www.patoisvda.org/asset/0000054440.mp3
eunrèi,araire,aratro (a vomere simmetrico),https://www.patoisvda.org/asset/0000053062.mp3
eunségnà (eunségné),enseigné (enseigner),insegnato (insegnare),https://www.patoisvda.org/asset/0000065664.mp3
eunségné,enseigner,insegnare,https://www.patoisvda.org/asset/0000065662.mp3
eunseurtà (eunseurté),insulté (insulter),insultato (insultare),https://www.patoisvda.org/asset/0000065727.mp3
eunseurté,insulter,insultare,https://www.patoisvda.org/asset/0000065725.mp3
euntcheur,entier,intero,https://www.patoisvda.org/asset/0000058556.mp3
euntellijanse,intelligence,intelligenza,https://www.patoisvda.org/asset/0000055810.mp3
euntéré,intérêt,interesse,https://www.patoisvda.org/asset/0000055812.mp3
eunterrogachón,interrogation,interrogazione,https://www.patoisvda.org/asset/0000055814.mp3
fa (fére),fait (faire),fatto (fare),https://www.patoisvda.org/asset/0000065685.mp3
faa,faux,falce,https://www.patoisvda.org/asset/0000055537.mp3
fabreucca,usine,fabbrica,https://www.patoisvda.org/asset/0000057908.mp3
fada,jupe,gonna,https://www.patoisvda.org/asset/0000055860.mp3
fallèi,falloir,dovere (occorrere),https://www.patoisvda.org/asset/0000065686.mp3
fallù (fallèi),fallu (falloir),occorso (occorrere),https://www.patoisvda.org/asset/0000090376.mp3
fameuille,famille,famiglia,https://www.patoisvda.org/asset/0000055523.mp3
fan,faim,fame,https://www.patoisvda.org/asset/0000055521.mp3
fantouma,fantôme,fantasma,https://www.patoisvda.org/asset/0000055525.mp3
fareunna,farine,farina,https://www.patoisvda.org/asset/0000055527.mp3
farmasia,pharmacie,farmacia,https://www.patoisvda.org/asset/0000056968.mp3
fase,faux,falso,https://www.patoisvda.org/asset/0000058211.mp3
fasón,manière,maniera (modo),https://www.patoisvda.org/asset/0000055996.mp3
fata,besoin (nécessité),bisogno (necessità),https://www.patoisvda.org/asset/0000053552.mp3
fateura,facture,fattura,https://www.patoisvda.org/asset/0000055519.mp3
fatte,insipide,insipido,https://www.patoisvda.org/asset/0000058582.mp3
faye,fée,fata,https://www.patoisvda.org/asset/0000055545.mp3
fèdzo,foie,fegato,https://www.patoisvda.org/asset/0000055607.mp3
fegué,figuier,fico,https://www.patoisvda.org/asset/0000055576.mp3
fèijoù,haricot,fagiolo,https://www.patoisvda.org/asset/0000055753.mp3
fèijoù,haricot,fagiolo,https://www.patoisvda.org/asset/0000055543.mp3
fèira,foire,fiera,https://www.patoisvda.org/asset/0000055610.mp3
femalla,femelle,femmina,https://www.patoisvda.org/asset/0000055547.mp3
femalla,femme,donna,https://www.patoisvda.org/asset/0000055549.mp3
fen,foin,fieno,https://www.patoisvda.org/asset/0000055608.mp3
fenitra,fenêtre,finestra,https://www.patoisvda.org/asset/0000055553.mp3
fenna,femme,moglie,https://www.patoisvda.org/asset/0000055551.mp3
fenna,dame,signora,https://www.patoisvda.org/asset/0000054892.mp3
fére,faire,fare,https://www.patoisvda.org/asset/0000065683.mp3
fétà (fété),fêté (fêter),festeggiato (festeggiare),https://www.patoisvda.org/asset/0000065694.mp3
fété,fêter,festeggiare,https://www.patoisvda.org/asset/0000065692.mp3
feugga,figue,fico,https://www.patoisvda.org/asset/0000055574.mp3
feuille,fille,figlia,https://www.patoisvda.org/asset/0000055582.mp3
feun,fin,fine,https://www.patoisvda.org/asset/0000055588.mp3
feun,fumée,fumo,https://www.patoisvda.org/asset/0000055661.mp3
feur,fer,ferro,https://www.patoisvda.org/asset/0000055555.mp3
feur,épée,spada,https://www.patoisvda.org/asset/0000055455.mp3
fevrì,février,febbraio,https://www.patoisvda.org/asset/0000055568.mp3
fèya,brebis,pecora,https://www.patoisvda.org/asset/0000053896.mp3
fi,fil,filo,https://www.patoisvda.org/asset/0000055578.mp3
fiacca,paresse,pigrizia,https://www.patoisvda.org/asset/0000056829.mp3
filè,filet,rete,https://www.patoisvda.org/asset/0000055580.mp3
fiocca,crème fouettée,panna montata,https://www.patoisvda.org/asset/0000054823.mp3
fiolet,fiolet,fiolet,https://www.patoisvda.org/asset/0000055590.mp3
fisella,ficelle,spago,https://www.patoisvda.org/asset/0000055570.mp3
fita,fête,festa,https://www.patoisvda.org/asset/0000055559.mp3
fivra,fièvre,febbre,https://www.patoisvda.org/asset/0000055572.mp3
fla,odeur,odore,https://www.patoisvda.org/asset/0000056634.mp3
fla,souffle,fiato,https://www.patoisvda.org/asset/0000057699.mp3
flama,flamme,fiamma,https://www.patoisvda.org/asset/0000055592.mp3
fa (fére),fait (faire),fatto (fare),https://www.patoisvda.org/asset/0000065685.mp3
faa,faux,falce,https://www.patoisvda.org/asset/0000055537.mp3
fabreucca,usine,fabbrica,https://www.patoisvda.org/asset/0000057908.mp3
fada,jupe,gonna,https://www.patoisvda.org/asset/0000055860.mp3
fallèi,falloir,dovere (occorrere),https://www.patoisvda.org/asset/0000065686.mp3
fallù (fallèi),fallu (falloir),occorso (occorrere),https://www.patoisvda.org/asset/0000090376.mp3
fameuille,famille,famiglia,https://www.patoisvda.org/asset/0000055523.mp3
fan,faim,fame,https://www.patoisvda.org/asset/0000055521.mp3
fantouma,fantôme,fantasma,https://www.patoisvda.org/asset/0000055525.mp3
fareunna,farine,farina,https://www.patoisvda.org/asset/0000055527.mp3
farmasia,pharmacie,farmacia,https://www.patoisvda.org/asset/0000056968.mp3
fase,faux,falso,https://www.patoisvda.org/asset/0000058211.mp3
fasón,manière,maniera (modo),https://www.patoisvda.org/asset/0000055996.mp3
fata,besoin (nécessité),bisogno (necessità),https://www.patoisvda.org/asset/0000053552.mp3
fateura,facture,fattura,https://www.patoisvda.org/asset/0000055519.mp3
fatte,insipide,insipido,https://www.patoisvda.org/asset/0000058582.mp3
faye,fée,fata,https://www.patoisvda.org/asset/0000055545.mp3
fèdzo,foie,fegato,https://www.patoisvda.org/asset/0000055607.mp3
fegué,figuier,fico,https://www.patoisvda.org/asset/0000055576.mp3
fèijoù,haricot,fagiolo,https://www.patoisvda.org/asset/0000055753.mp3
fèijoù,haricot,fagiolo,https://www.patoisvda.org/asset/0000055543.mp3
fèira,foire,fiera,https://www.patoisvda.org/asset/0000055610.mp3
femalla,femelle,femmina,https://www.patoisvda.org/asset/0000055547.mp3
femalla,femme,donna,https://www.patoisvda.org/asset/0000055549.mp3
fen,foin,fieno,https://www.patoisvda.org/asset/0000055608.mp3
fenitra,fenêtre,finestra,https://www.patoisvda.org/asset/0000055553.mp3
fenna,femme,moglie,https://www.patoisvda.org/asset/0000055551.mp3
fenna,dame,signora,https://www.patoisvda.org/asset/0000054892.mp3
fére,faire,fare,https://www.patoisvda.org/asset/0000065683.mp3
fétà (fété),fêté (fêter),festeggiato (festeggiare),https://www.patoisvda.org/asset/0000065694.mp3
fété,fêter,festeggiare,https://www.patoisvda.org/asset/0000065692.mp3
feugga,figue,fico,https://www.patoisvda.org/asset/0000055574.mp3
feuille,fille,figlia,https://www.patoisvda.org/asset/0000055582.mp3
feun,fin,fine,https://www.patoisvda.org/asset/0000055588.mp3
feun,fumée,fumo,https://www.patoisvda.org/asset/0000055661.mp3
feur,fer,ferro,https://www.patoisvda.org/asset/0000055555.mp3
feur,épée,spada,https://www.patoisvda.org/asset/0000055455.mp3
fevrì,février,febbraio,https://www.patoisvda.org/asset/0000055568.mp3
fèya,brebis,pecora,https://www.patoisvda.org/asset/0000053896.mp3
fi,fil,filo,https://www.patoisvda.org/asset/0000055578.mp3
fiacca,paresse,pigrizia,https://www.patoisvda.org/asset/0000056829.mp3
filè,filet,rete,https://www.patoisvda.org/asset/0000055580.mp3
fiocca,crème fouettée,panna montata,https://www.patoisvda.org/asset/0000054823.mp3
fiolet,fiolet,fiolet,https://www.patoisvda.org/asset/0000055590.mp3
fisella,ficelle,spago,https://www.patoisvda.org/asset/0000055570.mp3
fita,fête,festa,https://www.patoisvda.org/asset/0000055559.mp3
fivra,fièvre,febbre,https://www.patoisvda.org/asset/0000055572.mp3
fla,odeur,odore,https://www.patoisvda.org/asset/0000056634.mp3
fla,souffle,fiato,https://www.patoisvda.org/asset/0000057699.mp3
flama,flamme,fiamma,https://www.patoisvda.org/asset/0000055592.mp3
flètse,flèche,freccia,https://www.patoisvda.org/asset/0000055596.mp3
fleur,fleur,fiore,https://www.patoisvda.org/asset/0000055598.mp3
fleuve,fleuve (rivière),fiume,https://www.patoisvda.org/asset/0000055600.mp3
foille,feuille,foglia,https://www.patoisvda.org/asset/0000055564.mp3
foillè,feuille,foglio,https://www.patoisvda.org/asset/0000055566.mp3
fon,sèche-cheveux,asciugacapelli (phon),https://www.patoisvda.org/asset/0000057595.mp3
fontan-a,source,sorgente,https://www.patoisvda.org/asset/0000090294.mp3
fontin-a,fontine,fontina,https://www.patoisvda.org/asset/0000055616.mp3
for,four,forno,https://www.patoisvda.org/asset/0000055628.mp3
fornet,poêle,stufa,https://www.patoisvda.org/asset/0000057083.mp3
forse,force,forza,https://www.patoisvda.org/asset/0000055620.mp3
forsette,ciseaux,forbici,https://www.patoisvda.org/asset/0000054654.mp3
fortsetta,fourchette,forchetta,https://www.patoisvda.org/asset/0000055630.mp3
fota,faute,errore,https://www.patoisvda.org/asset/0000055533.mp3
fotografia,photographie,fotografia,https://www.patoisvda.org/asset/0000056970.mp3
fouà,incendie,incendio,https://www.patoisvda.org/asset/0000055802.mp3
fouà,feu,fuoco,https://www.patoisvda.org/asset/0000055561.mp3
foué,foi,fede,https://www.patoisvda.org/asset/0000055604.mp3
fourma,forme,forma,https://www.patoisvda.org/asset/0000055624.mp3
framicllo,rhododendron,rododendro,https://www.patoisvda.org/asset/0000057502.mp3
France,France,Francia,https://www.patoisvda.org/asset/0000055636.mp3
francoboul,timbre,francobollo,https://www.patoisvda.org/asset/0000057801.mp3
fraze,phrase,frase,https://www.patoisvda.org/asset/0000056972.mp3
fremiye,fourmi,formica,https://www.patoisvda.org/asset/0000090226.mp3
fren,frein,freno,https://www.patoisvda.org/asset/0000090228.mp3
frenet (frenì),fini (finir),finito (finire),https://www.patoisvda.org/asset/0000065697.mp3
frenì,finir,finire,https://www.patoisvda.org/asset/0000065695.mp3
frére,frère,fratello,https://www.patoisvda.org/asset/0000055638.mp3
fretì,fromager,casaro,https://www.patoisvda.org/asset/0000055646.mp3
fretiye,fromagère,casara,https://www.patoisvda.org/asset/0000055648.mp3
frette,froid,freddo,https://www.patoisvda.org/asset/0000058176.mp3
frigo,frigo,frigorifero,https://www.patoisvda.org/asset/0000055640.mp3
frique,fraise,fragola,https://www.patoisvda.org/asset/0000055632.mp3
friza,miette,briciola,https://www.patoisvda.org/asset/0000056224.mp3
fron,front,fronte,https://www.patoisvda.org/asset/0000055650.mp3
frontsére,frontière,confine,https://www.patoisvda.org/asset/0000055652.mp3
frouì,fruit,frutto,https://www.patoisvda.org/asset/0000055656.mp3
frutte,fruits,frutta,https://www.patoisvda.org/asset/0000055657.mp3
fuzì,fusil,fucile,https://www.patoisvda.org/asset/0000055665.mp3
fuzì,,,
fuzì,,,
fuzì,,,
fuzì,,,
fuzì,,,
fuzì,,,
fuzì,,,
fuzì,,,
fuzì,,,
fuzì,,,
fuzì,,,
gadeun,cochon,maiale,https://www.patoisvda.org/asset/0000054709.mp3
gagnà (gagné),gagné (gagner),vinto (vincere),https://www.patoisvda.org/asset/0000065700.mp3
gagné,gagner,vincere,https://www.patoisvda.org/asset/0000065698.mp3
galerì,tunnel,galleria,https://www.patoisvda.org/asset/0000057898.mp3
galetas,grenier,soffitta,https://www.patoisvda.org/asset/0000055734.mp3
gambala,botte de pluie,stivale,https://www.patoisvda.org/asset/0000053684.mp3
gamolla,mite,tarma,https://www.patoisvda.org/asset/0000056253.mp3
garaje,garage (remise),garage (rimessa),https://www.patoisvda.org/asset/0000055667.mp3
gas,gaz,gas,https://www.patoisvda.org/asset/0000055678.mp3
gateillette,chatouilles,solletico,https://www.patoisvda.org/asset/0000054538.mp3
gato,panne,guasto,https://www.patoisvda.org/asset/0000090335.mp3
gnaou,nœud,nodo,https://www.patoisvda.org/asset/0000056542.mp3
gneu,noix,noce,https://www.patoisvda.org/asset/0000056551.mp3
gneublo,nuageux,nuvoloso,https://www.patoisvda.org/asset/0000058288.mp3
gneufla,carotte,carota,https://www.patoisvda.org/asset/0000090201.mp3
gnoula,nuage,nuvola,https://www.patoisvda.org/asset/0000056600.mp3
gnoula basa,brouillard,nebbia,https://www.patoisvda.org/asset/0000053944.mp3
goille,flaque,pozzanghera,https://www.patoisvda.org/asset/0000055594.mp3
gomma,caoutchouc,gomma,https://www.patoisvda.org/asset/0000054060.mp3
gomma,pneu,pneumatico,https://www.patoisvda.org/asset/0000057076.mp3
gotse,gauche,sinistra,https://www.patoisvda.org/asset/0000055676.mp3
gotta,goutte,goccia,https://www.patoisvda.org/asset/0000055714.mp3
gotta,goutte,goccio,https://www.patoisvda.org/asset/0000055718.mp3
gou,goût,gusto,https://www.patoisvda.org/asset/0000055710.mp3
gou,saveur,sapore,https://www.patoisvda.org/asset/0000057581.mp3
gra,gras,grasso,https://www.patoisvda.org/asset/0000058339.mp3
grame,gramme,grammo,https://www.patoisvda.org/asset/0000055726.mp3
gramére,grammaire,grammatica,https://www.patoisvda.org/asset/0000055724.mp3
gramo,mauvais,cattivo,https://www.patoisvda.org/asset/0000090372.mp3
gran,grand,grande,https://www.patoisvda.org/asset/0000058303.mp3
gran,pépin,seme,https://www.patoisvda.org/asset/0000056901.mp3
gran,noyau,nòcciolo,https://www.patoisvda.org/asset/0000056594.mp3
gran,grain,acino,https://www.patoisvda.org/asset/0000090232.mp3
gran-a,graine,seme,https://www.patoisvda.org/asset/0000055722.mp3
grandze,ferme,fattoria,https://www.patoisvda.org/asset/0000055557.mp3
gremeché,pelote,gomitolo,https://www.patoisvda.org/asset/0000056894.mp3
greulla,grêle,grandine,https://www.patoisvda.org/asset/0000055732.mp3
greumpeillà (greumpeillé),grimpé (grimper),scalato (scalare),https://www.patoisvda.org/asset/0000065712.mp3
greumpeillé,grimper,arrampicarsi,https://www.patoisvda.org/asset/0000065710.mp3
grèya,plâtre,gesso,https://www.patoisvda.org/asset/0000057057.mp3
gri,gris,grigio,https://www.patoisvda.org/asset/0000058649.mp3
grima,grimace,smorfia,https://www.patoisvda.org/asset/0000055738.mp3
gro,gros,grosso,https://www.patoisvda.org/asset/0000058308.mp3
guéra,guerre,guerra,https://www.patoisvda.org/asset/0000055745.mp3
guetset,guichet,sportello,https://www.patoisvda.org/asset/0000055747.mp3
gueubba,bosse,gobba,https://www.patoisvda.org/asset/0000053680.mp3
gueuddà (gueuddé),guidé (guider),guidato (guidare),https://www.patoisvda.org/asset/0000065718.mp3
gueuddé,guider,guidare,https://www.patoisvda.org/asset/0000065716.mp3
gueuddé,,,
gueuddé,,,
gadeun,cochon,maiale,https://www.patoisvda.org/asset/0000054709.mp3
gagnà (gagné),gagné (gagner),vinto (vincere),https://www.patoisvda.org/asset/0000065700.mp3
gagné,gagner,vincere,https://www.patoisvda.org/asset/0000065698.mp3
galerì,tunnel,galleria,https://www.patoisvda.org/asset/0000057898.mp3
galetas,grenier,soffitta,https://www.patoisvda.org/asset/0000055734.mp3
gambala,botte de pluie,stivale,https://www.patoisvda.org/asset/0000053684.mp3
gamolla,mite,tarma,https://www.patoisvda.org/asset/0000056253.mp3
garaje,garage (remise),garage (rimessa),https://www.patoisvda.org/asset/0000055667.mp3
gas,gaz,gas,https://www.patoisvda.org/asset/0000055678.mp3
gateillette,chatouilles,solletico,https://www.patoisvda.org/asset/0000054538.mp3
gato,panne,guasto,https://www.patoisvda.org/asset/0000090335.mp3
gnaou,nœud,nodo,https://www.patoisvda.org/asset/0000056542.mp3
gneu,noix,noce,https://www.patoisvda.org/asset/0000056551.mp3
gneublo,nuageux,nuvoloso,https://www.patoisvda.org/asset/0000058288.mp3
gneufla,carotte,carota,https://www.patoisvda.org/asset/0000090201.mp3
gnoula,nuage,nuvola,https://www.patoisvda.org/asset/0000056600.mp3
gnoula basa,brouillard,nebbia,https://www.patoisvda.org/asset/0000053944.mp3
goille,flaque,pozzanghera,https://www.patoisvda.org/asset/0000055594.mp3
gomma,caoutchouc,gomma,https://www.patoisvda.org/asset/0000054060.mp3
gomma,pneu,pneumatico,https://www.patoisvda.org/asset/0000057076.mp3
gotse,gauche,sinistra,https://www.patoisvda.org/asset/0000055676.mp3
gotta,goutte,goccia,https://www.patoisvda.org/asset/0000055714.mp3
gotta,goutte,goccio,https://www.patoisvda.org/asset/0000055718.mp3
gou,goût,gusto,https://www.patoisvda.org/asset/0000055710.mp3
gou,saveur,sapore,https://www.patoisvda.org/asset/0000057581.mp3
gra,gras,grasso,https://www.patoisvda.org/asset/0000058339.mp3
grame,gramme,grammo,https://www.patoisvda.org/asset/0000055726.mp3
gramére,grammaire,grammatica,https://www.patoisvda.org/asset/0000055724.mp3
gramo,mauvais,cattivo,https://www.patoisvda.org/asset/0000090372.mp3
gran,grand,grande,https://www.patoisvda.org/asset/0000058303.mp3
gran,pépin,seme,https://www.patoisvda.org/asset/0000056901.mp3
gran,noyau,nòcciolo,https://www.patoisvda.org/asset/0000056594.mp3
gran,grain,acino,https://www.patoisvda.org/asset/0000090232.mp3
gran-a,graine,seme,https://www.patoisvda.org/asset/0000055722.mp3
grandze,ferme,fattoria,https://www.patoisvda.org/asset/0000055557.mp3
gremeché,pelote,gomitolo,https://www.patoisvda.org/asset/0000056894.mp3
greulla,grêle,grandine,https://www.patoisvda.org/asset/0000055732.mp3
greumpeillà (greumpeillé),grimpé (grimper),scalato (scalare),https://www.patoisvda.org/asset/0000065712.mp3
greumpeillé,grimper,arrampicarsi,https://www.patoisvda.org/asset/0000065710.mp3
grèya,plâtre,gesso,https://www.patoisvda.org/asset/0000057057.mp3
gri,gris,grigio,https://www.patoisvda.org/asset/0000058649.mp3
grima,grimace,smorfia,https://www.patoisvda.org/asset/0000055738.mp3
gro,gros,grosso,https://www.patoisvda.org/asset/0000058308.mp3
guéra,guerre,guerra,https://www.patoisvda.org/asset/0000055745.mp3
